Percent Raw
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
 0   0
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
14 803
